AL	879.0
AK	23.0
AZ	606.0
AR	652.0
CA	1715.0
CO	255.0
CT	384.0
DE	144.0
DC	47.0
FL	2847.0
GA	1015.0
HI	24.0
ID	113.0
IL	1240.0
IN	1078.0
IA	518.0
KS	594.0
KY	728.0
LA	743.0
ME	205.0
MD	706.0
MA	732.0
MI	1325.0
MN	445.0
MS	497.0
TX	14.0
MS	91.0
MO	1030.0
MT	174.0
NE	318.0
NV	311.0
NH	216.0
NJ	819.0
NM	128.0
NY	1336.0
NC	1141.0
ND	178.0
OH	1186.0
OK	463.0
OR	354.0
PA	1003.0
RI	76.0
SC	721.0
SD	156.0
TN	44.0
TX	13.0
TN	942.0
TX	2732.0
UT	109.0
VT	57.0
VA	827.0
WA	531.0
WV	356.0
WI	609.0
WY	44.0
TX	112.0
AL	575.0
AK	11.0
AZ	386.0
AR	247.0
CA	1469.0
CO	254.0
CT	397.0
DE	114.0
DC	109.0
FL	2834.0
GA	672.0
HI	19.0
ID	12.0
IL	1972.0
IN	833.0
IA	188.0
KS	226.0
KY	519.0
LA	237.0
ME	141.0
MD	1280.0
MA	1065.0
MI	1242.0
MN	491.0
MS	332.0
MO	675.0
MT	63.0
NE	102.0
NV	160.0
NH	143.0
NJ	438.0
AL	32.0
NJ	1198.0
NM	72.0
NY	3105.0
NC	1067.0
ND	19.0
OH	1301.0
OK	224.0
OR	56.0
PA	1655.0
RI	62.0
SC	548.0
SD	40.0
TN	496.0
TX	453.0
AL	17.0
TX	959.0
UT	28.0
VT	28.0
VA	770.0
WA	162.0
WV	200.0
WI	537.0
WY	15.0
TX	11.0
AL	1291.0
AK	45.0
AZ	892.0
AR	659.0
CA	4828.0
CT	21.0
CA	432.0
CO	471.0
CT	835.0
DE	289.0
DC	277.0
FL	2044.0
AL	17.0
FL	2150.0
GA	1779.0
HI	230.0
ID	179.0
AL	49.0
IL	2881.0
IN	1535.0
IA	475.0
KS	508.0
AL	11.0
KS	13.0
KY	1205.0
LA	915.0
ME	255.0
MD	1657.0
MA	1433.0
MI	2604.0
MN	822.0
MS	857.0
MO	374.0
AL	13.0
MO	1282.0
MT	117.0
NE	286.0
NV	387.0
AZ	19.0
NV	32.0
NH	202.0
NJ	2146.0
NM	210.0
NY	3553.0
NC	2473.0
AZ	30.0
NC	136.0
ND	162.0
OH	2357.0
OK	772.0
OR	434.0
PA	2713.0
RI	181.0
SC	1212.0
SD	153.0
TN	1919.0
TX	4223.0
AR	16.0
TX	250.0
UT	228.0
VT	104.0
VA	2094.0
WA	1155.0
WV	455.0
WI	825.0
WY	22.0
TX	74.0
AL	2404.0
AK	152.0
AZ	1581.0
AR	1463.0
CA	7840.0
CO	929.0
CT	358.0
CA	13.0
CT	976.0
DE	456.0
DC	385.0
FL	7326.0
GA	3302.0
HI	306.0
ID	360.0
IL	4928.0
CA	27.0
IL	229.0
IN	1051.0
CA	13.0
IN	1888.0
IA	1075.0
KS	915.0
KY	1937.0
LA	1715.0
ME	568.0
MD	2798.0
MA	2487.0
MI	4168.0
MN	1467.0
MS	1538.0
MO	2728.0
MT	321.0
NE	616.0
NV	640.0
NH	464.0
NJ	3639.0
NM	404.0
NY	5317.0
NC	4370.0
ND	283.0
OH	3886.0
OK	1522.0
OR	796.0
PA	4666.0
CA	25.0
PA	237.0
RI	288.0
SC	2026.0
TX	33.0
SD	324.0
TN	2938.0
TX	4882.0
AL	31.0
TX	2584.0
UT	362.0
VT	159.0
VA	3388.0
WA	1961.0
WV	903.0
WI	1801.0
WY	98.0
TX	176.0
AL	1192.0
AK	84.0
AZ	877.0
AR	444.0
CA	38.0
AR	315.0
CA	3793.0
CO	478.0
CT	801.0
DE	296.0
DC	209.0
FL	4207.0
GA	1510.0
HI	194.0
ID	182.0
IL	2723.0
IN	1561.0
IA	565.0
KS	426.0
KY	1177.0
LA	909.0
ME	205.0
MD	1476.0
MA	1359.0
MI	1977.0
MN	771.0
MS	868.0
MO	1557.0
MT	165.0
NE	331.0
NV	349.0
NH	256.0
NJ	1907.0
NM	208.0
NY	2856.0
NC	2072.0
CA	33.0
NC	249.0
ND	152.0
OH	490.0
CO	62.0
OH	1658.0
OK	715.0
OR	425.0
PA	2665.0
RI	141.0
SC	1053.0
SD	166.0
TN	1422.0
TX	3605.0
