AK	 25443.0
AL	 15405.66
AR	 17535.25
AZ	 20742.17
CA	 35275.57
CO	 22279.1
CT	 21609.1
DC	 27012.45
DE	 16870.23
FL	 26157.76
GA	 19854.35
HI	 31525.26
IA	 16723.51
ID	 13674.69
IL	 38370.0
IN	 18639.52
KS	 14144.3
KY	 18657.55
LA	 21390.14
MA	 26510.15
MD	 50882.4
ME	 14472.24
MI	 20790.57
MN	 22035.67
MO	 17769.06
MS	 15631.3
MT	 14612.48
NC	 20124.76
ND	 12627.16
NE	 16506.8
NH	 16830.77
NJ	 27339.54
NM	 20341.01
NV	 15493.24
NY	 33598.31
OH	 19449.35
OK	 17839.26
OR	 21766.11
PA	 23126.15
RI	 17710.12
SC	 20640.7
SD	 17697.66
TN	 17190.7
TX	 27561.8
UT	 18810.1
VA	 21432.29
VT	 17682.87
WA	 21363.6
WI	 20415.14
WV	 17162.62
WY	 16400.0
